input,output
You have to look out for other cars when you drive.,Tienes que poner ojo con los otros vehículos cuando conduzcas.
You know me well enough to know I wouldn't do that.,Me conoces lo suficientemente bien para saber que yo no lo haría.
You must also respect the opinions of the minority.,También debes respetar las opiniones de la minoría.
You must consider what kind of work you want to do.,Deberías pensar qué clase de trabajo quieres hacer.
You must consider what kind of work you want to do.,Deberíais pensar qué clase de trabajo queréis hacer.
You must consider what kind of work you want to do.,Debes pensar qué clase de trabajo deseas hacer.
You must make allowance for his lack of experience.,Debes tener en cuenta su falta de experiencia.
You must make an effort to get along with everyone.,Tienes que hacer un esfuerzo y llevarte bien con todos.
You must remove your shoes before entering a house.,Tú debes quitarte los zapatos antes de entrar a una casa.
"You need a bat, a ball and gloves to play baseball.","Necesitas un bate, una pelota y guantes para jugar al béisbol."
You never listen. I might as well talk to the wall.,Nunca escuchas. Es como hablarle a una pared.
You said almost all of your friends were Canadians.,Dijiste que casi todos tus amigos eran canadienses.
You should always knock before entering Tom's room.,Siempre deberías golpear la puerta antes de entrar a la habitación de Tom.
You should be able to walk again within a few days.,Usted debería poder andar de nuevo en unos días.
You should have been more careful with your health.,Deberías de prestar más atención a tu salud.
You should make sure that you don't make Tom angry.,Deberías asegurarte de no hacer enfadar a Tom.
You should tell Tom that Mary isn't planning to go.,Deberías decirle a Tom que Mary no está planeando ir.
You should've told me what the problem was earlier.,Debiste haberme contado antes el problema.
You shouldn't interfere in other people's business.,No deberías interferir en los asuntos de otras personas.
You shouldn't look down on a person for being poor.,No deberías mirar por encima del hombro a una persona por ser pobre.
You shouldn't talk about people behind their backs.,No debes hablar de la gente a sus espaldas.
You talk so fast I can't understand a word you say.,Hablas tan rápido que no puedo entender una palabra de lo que dices.
You were just in the wrong place at the wrong time.,Estabas justamente en el lugar equivocado en el momento equivocado.
You will save time if you adopt this new procedure.,Ahorrarán tiempo si ustedes adoptan este nuevo procedimiento.
You'll all get used to the cold climate in no time.,Os acostumbraréis rápido al clima frío.
You'll be able to use a calculator during the test.,Podrás utilizar una calculadora durante el examen.
You're going to come up against fierce competition.,Va usted a tener una competencia feroz.
You're going to come up against fierce competition.,Te vas a enfrentar a una competencia feroz.
You're the first woman that I've ever really loved.,Eres la primera mujer a la que he amado de verdad.
You're the most beautiful woman in the whole world.,Eres las mujer más bella en todo el mundo.
You're the only person I know who has a sports car.,Eres la única persona que conozco que tiene un deportivo.
"You're tired, aren't you? Why don't you get to bed?","Estás cansado, ¿verdad? ¿Por qué no vas a la cama?"
You've changed a lot since the last time I saw you.,Has cambiado mucho desde la última vez que te vi.
Young men and women fought to defend their country.,Hombres y mujeres jóvenes lucharon para defender a su país.
"Do you have any siblings? ""No, I'm an only child.""","¿Tienes algún hermano? ""No, soy hijo único."""
"Does Tom play golf? ""Yes, he plays every weekend.""","¿Tom juega al golf? ""Sí, juega todos los fines de semana""."
"Let's dance together. ""I thought you'd never ask.""","Bailemos juntos. ""Pensé que jamás preguntarías."""
"Let's dance together. ""I thought you'd never ask.""",«Ven a bailar conmigo.» «Creía que no me lo pedirías nunca.»
"May I help you? ""No, thank you. I'm just looking.""","¿Puedo ayudarlo? ""No, gracias. Solo estoy mirando."""
"May I help you? ""No, thank you. I'm just looking.""","¿Puedo ayudarla? ""No, gracias. Solo estoy mirando."""
"My father doesn't drink. ""Neither does my father.""","Mi padre no bebe alcohol. ""El mío tampoco."""
A beautiful woman was seated one row in front of me.,Una hermosa mujer estaba sentada una fila delante de mí.
A caged cricket eats just as much as a free cricket.,Un grillo enjaulado come tanto como un grillo libre.
A clear conscience is the sure sign of a bad memory.,Una consciencia limpia es una señal clara de una mala memoria.
A drunk driver was responsible for the car accident.,Un conductor ebrio fue responsable del accidente.
A face without freckles is like a sky without stars.,Una cara sin las pecas es como un cielo sin estrellas.
A lot of people are coming out of the movie theater.,Mucha gente está saliendo del cine.
A lot of people are now trying to sell their houses.,Ahora mucha gente está intentando vender sus casas.
A lot of people look up to you. Don't let them down.,Mucha gente te admira. No los decepciones.
A lot of things stop fascinating us when we grow up.,Al crecer muchas cosas dejan de fascinarnos.
A man who wanted to see you came while you were out.,"Un señor, que quería verte, vino mientras estabas fuera."
A man who wanted to see you came while you were out.,Mientras estabas fuera un señor vino porque te quería ver.
A man who wanted to see you came while you were out.,Mientras estabas fuera un señor vino porque quería verte.
A man's worth has nothing to do with his appearance.,El valor de un hombre no tiene nada que ver con su apariencia.
A smile doesn't cost anything. Give one to everyone.,Una sonrisa no cuesta nada; da una a todos.
A wide leather belt would look good with that dress.,Un cinturón ancho de cuero quedaría bien con ese vestido.
"Actually, I'll stay in the city for a few more days.","Pensándolo bien, me voy a quedar en la ciudad unos días más."
"After hearing the sad news, Tom broke down in tears.","Después de escuchar la triste noticia, Tom rompió a llorar."
"After months of looking, Mary purchased a new dress.","Tras meses de búsqueda, Mary se ha comprado un nuevo vestido."
"After some hesitation, he laid the book on the desk.","Tras algo de vacilación, él puso el libro sobre el escritorio."
"After the dog died, they buried him in the backyard.","Cuando murió el perro, lo enterraron en el jardín."
All life support systems have been severely damaged.,Todos los sistemas de soporte vital han sido gravemente dañados.
All of my great-grandparents died before I was born.,Todos mis bisabuelos fallecieron antes de nacer yo.
All of my great-grandparents died before I was born.,Todos mis bisabuelos murieron antes de que yo naciese.
All students are free to use the university library.,Todos los estudiantes tienen libertad para hacer uso de la biblioteca universitaria.
Americans vote for a new president every four years.,Los estadounidenses votan a un nuevo presidente cada cuatro años.
Are you sure you want to put your life in her hands?,¿Estás seguro de que quieres poner tu vida en sus manos?
"As far as I know, I don't have any family in Boston.",Que yo sepa no tengo familia en Boston.
"As of tomorrow, this e-mail address will be invalid.","A partir de mañana, esta dirección de correo electrónico será inválida."
"At Narita Airport, I ran into an old friend of mine.","En el Aeropuerto Narita, me topé con un viejo amigo mío."
"At such times, I think of my family, not my friends.","En esos momentos es en mi familia en quien pienso, no en mis amigos."
"At such times, I think of my family, not my friends.","En esos momentos, pienso en mi familia, no en mis amigos."
"At that time, Tom was sitting between Mary and John.","En aquel momento, Tom estaba sentado entre Mary y John."
Atomic energy can be utilized for peaceful purposes.,La energía atómica puede ser utilizada para propósitos pacíficos.
Attach a recent photograph to your application form.,Adjunte una fotografía reciente a su formulario de solicitud.
"Be careful of what you say, for he's easily annoyed.",Ten cuidado con lo que dices porque se molesta muy fácilmente.
Be careful what you wish for. You just might get it.,Cuidado con lo que deseas. Porque se podría cumplir.
"Because of the dense haze, the road was hard to see.","A causa de la densa neblina, el camino era difícil de ver."
By the time I get home I'll be too tired to do that.,A la hora que llegue a casa estaré demasiado cansado para hacer eso.
By the time I get home I'll be too tired to do that.,A la hora que llegue a casa estaré demasiado cansado para hacerlo.
"By the time I got to school, class was already over.",La clase ya había terminado cuando llegué a la escuela.
Can you please take this package to the post office?,¿Puedes llevar este paquete a la oficina de correos?
